,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,title,variety,winery
279,279,Italy,"This oak-fermented Sauvignon (in an artsy, screwcap bottle) delivers a rich, spicy finish and thick layers of peach, citrus, tomato leaf and honey-like aromas. It's a gorgeous wine that is an absolute pleasure to drink.",,89,52.0,Northeastern Italy,Alto Adige,,Franz Haas 2009 Sauvignon (Alto Adige),Sauvignon,Franz Haas
84061,84061,US,"Roundly fruity, loaded with bright berries, and nicely spiced with herbal (tobacco) highlights.  Immediately approachable and nicely structured, this open and generous effort glides into a smooth and chocolaty finish. The tannins have been especially well ripened and polished, so the bright fruit has no sharp edges.",,90,35.0,Washington,Columbia Valley (WA),Columbia Valley,Sinclair Estate Vineyards 2007 Syrah (Columbia Valley (WA)),Syrah,Sinclair Estate Vineyards
118147,118147,US,"Bursting with fruity aromas of peaches, peach ring candies and orange blossom, this is a fresh wine. Juicy mango and more peach unfold on the palate. The feel is thin and isn't able to compete with the intense flavors and aromas, while the finish is tart and saccharine.",Estate Bottled,83,18.0,Virginia,Monticello,,Trump 2015 Estate Bottled Chardonnay (Monticello),Chardonnay,Trump
27134,27134,Italy,"Aromas of oak, toast, coconut and dark berry lead the nose and carry over to the bracing palate along with white pepper and oak-driven spice. Firm, extremely astringent tannins give this a bracing finish. Drink after 2018.",Sergentin,87,25.0,Piedmont,Roero,,Fabrizio Battaglino 2012 Sergentin  (Roero),Nebbiolo,Fabrizio Battaglino
116498,116498,Italy,A very precise mineral quality that recalls slate roof and granite defines this wine and delivers a linear and drying experience overall. The wine has charm and elegance with lingering spice notes on the finish.,Piluna,87,12.0,Southern Italy,Salento,,Castello Monaci 2006 Piluna Primitivo (Salento),Primitivo,Castello Monaci
19831,19831,Australia,"A blend of Shiraz from Eden Valley and the valley floor, this is both amply endowed and impressively complex. The creamy purée of raspberries is dusted with peppery spice and cocoa, leaving a savory impression on the lasting finish. Drink now—2015.",The Struie,93,50.0,South Australia,Barossa,,Torbreck 2006 The Struie Shiraz (Barossa),Shiraz,Torbreck
111194,111194,US,"Quite fruity and straightforward, with pleasant peach, melon and citrus flavors. The finish is clean and fresh and the wine well balanced.",Private Selection,84,9.0,California,Central Coast,Central Coast,Robert Mondavi 2002 Private Selection Johannisberg Riesling (Central Coast),Johannisberg Riesling,Robert Mondavi
80819,80819,US,"Willful is the reincarnation of Daedalus. The grapes are picked at low yields and fermented with native yeast. Here the Northridge vineyard fruit offers tart blue plum and black cherry flavors, with stiff tannins that carry some stem and herb character. Decanting or aerating helps to open it up and pull out more fruit.",Northridge Vineyard,89,35.0,Oregon,Eola-Amity Hills,Willamette Valley,Willful 2012 Northridge Vineyard Pinot Noir (Eola-Amity Hills),Pinot Noir,Willful
15303,15303,Spain,"Green apple, peach and a touch of saline define the nose of this wine. It's fresh in feel, like drinking nectarine juice. Flavors of nectarine, green plum, peach and lime finish clean and minerally, with refreshing acidity.",,89,16.0,Galicia,Rías Baixas,,Condes de Albarei 2013 Albariño (Rías Baixas),Albariño,Condes de Albarei
17944,17944,US,"A strong percentage of Petit Verdot (14%) marks this wine, a mouthful of sanguine cranberry and lightly ripe red fruit that's high in acidity and balanced by a richer dollop of milk chocolate, particularly on the finish.",Reserve,88,110.0,California,Rutherford,Napa,Round Pond 2011 Reserve Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,Round Pond
85837,85837,Spain,"Fresh melon and stone-fruit aromas are laced with a mineral streak. This feels smooth, with good body weight. Flavors of orange, lemon and passion fruit finish long and stony. As a whole, this is super tasty, balanced and done just right.",Pazo Cilleiro,90,20.0,Galicia,Rías Baixas,,Bodegas Muriel 2015 Pazo Cilleiro Albariño (Rías Baixas),Albariño,Bodegas Muriel
128233,128233,France,"From vines in the heart of the Entre-deux-Mers, this 85% Merlot wine is rich with layers of young black fruit and spicy wood flavors. It is still a young, structured wine and needs time for the powerful tannins to soften. Drink from 2019.",,87,26.0,Bordeaux,Bordeaux,,Château Jean de Bel Air 2015  Bordeaux,Bordeaux-style Red Blend,Château Jean de Bel Air
5471,5471,US,"Blended almost equally with Sauvignon Blanc and Semillon, and aged in French oak, this white Bordeaux-style wine has plenty to like. It's ripe in Meyer lemons, limes, tropical fruits and peaches, brightened with crisp acidity. Finishes a little lush and ripe.",Purety,86,22.0,California,Napa Valley,Napa,Pure Cru 2010 Purety White (Napa Valley),Bordeaux-style White Blend,Pure Cru
94259,94259,US,"Soft and simple, this has apricot, peach and cream flavors that finish sweet and jammy.",Spirit Hawk,84,15.0,California,California,California Other,Lander-Jenkins 2009 Spirit Hawk Chardonnay (California),Chardonnay,Lander-Jenkins
8136,8136,Argentina,"Rubbery black-fruit aromas are a bit fiery. This Malbec is tightly wound, with rubbery tannins and more than enough acidity. Spiced plum and berry flavors give way to a bold, forward finish with herbal, savory notes.",,87,13.0,Mendoza Province,Luján de Cuyo,,Nieto Senetiner 2016 Malbec (Luján de Cuyo),Malbec,Nieto Senetiner
63257,63257,France,"Attractive fruity tones of red currant, raspberry and strawberry hull dance in the bouquet of this pretty rosé, graced by garrigue accents of lavender and rosemary. Flavors of red berry skin and peach pit unfold on the medium-weight palate, framed by soft tannins and a delicate spice note that lingers on the close.",Le,90,18.0,Languedoc-Roussillon,Coteaux du Languedoc Pic Saint Loup,,Château de Lancyre 2015 Le Rosé (Coteaux du Languedoc Pic Saint Loup),Rosé,Château de Lancyre
38532,38532,Italy,"A classically powerful Riserva from Antinori, produced from the three family estates at Tignanello, Pèppoli and Badia a Passignano. Aromas of violets and cherries are followed by tobacco and spice flavors from the wood, as well as concentrated black fruits. Rich and full-bodied, it should age well over the next 10 years.",Tenuta Marchese Antinori Riserva,92,23.0,Tuscany,Chianti Classico,,Antinori 1998 Tenuta Marchese Antinori Riserva  (Chianti Classico),Sangiovese,Antinori
92319,92319,Italy,"Aromas recall rose petal, dark berry and orange zest. The palate delivers mature blackberry, cocoa, mocha and a licorice note alongside firm, fine-grained tannins.",Il Moro,89,28.0,Sicily & Sardinia,Sicilia,,Valle dell'Acate 2011 Il Moro Red (Sicilia),Red Blend,Valle dell'Acate
106058,106058,US,"This is made in a style that will work well with foods looking for sharp acids, especially shellfish. Lemon rind, light citrus and peppery highlights are wrapped in searing acidity.",Estate,87,16.0,Oregon,Willamette Valley,Willamette Valley,Apolloni 2014 Estate Pinot Grigio (Willamette Valley),Pinot Grigio,Apolloni
119524,119524,US,"Hay yellow in the glass, this rosé isn't pink at all, but offers inviting aromas of seltzer, crushed chalk, light lemon peels and yellow apples. The palate is quite mellow, which is pleasing, showing flavors of cider apple, dough and grapefruit peel.",Cork Jumper Blanc de Noirs Rosé,92,48.0,California,Santa Maria Valley,Central Coast,Riverbench 2014 Cork Jumper Blanc de Noirs Rosé Sparkling (Santa Maria Valley),Sparkling Blend,Riverbench
124741,124741,Spain,"Stalky, sulfuric and oaky on the nose, then plump on the palate, this rosé from Valdeorras is made from Mencía, not one of Spain's normal rosé grapes. This tastes woody and like sawdust, with generic red-fruit flavors, sugary sweetness and vanilla on the finish.",,84,20.0,Northern Spain,Valdeorras,,Avancia 2014 Rosé (Valdeorras),Rosé,Avancia
109771,109771,France,"Vines planted in 1934 are behind this smooth and concentrated wine. It has red-berry crispness as well as a cool crisp texture from acidity and tannins. With aging potential, the wine is perfumed and still firm. Drink from 2019.",Vieilles Vignes,92,63.0,Burgundy,Volnay,,Roche de Bellene 2014 Vieilles Vignes  (Volnay),Pinot Noir,Roche de Bellene
79515,79515,US,"Smoky and meaty, this medium-bodied Cab from rocky Atlas Peak offers sensible acidity wrapped around spicy, dusty tannins and a savory aftertaste of tobacco.",Haystack Peak Vineyards,91,40.0,California,Atlas Peak,Napa,Midsummer Cellars 2011 Haystack Peak Vineyards Cabernet Sauvignon (Atlas Peak),Cabernet Sauvignon,Midsummer Cellars
125199,125199,Italy,"Spiced plum, blue flower, vanilla, French oak and balsamic aromas lead the way on this firmly structured red. Full-bodied and elegant, the youthful, enveloping palate evokes blackberry, black cherry, pipe tobacco and ground clove framed in tightly knit fine-grained tannins. Drink 2020–2032.",Riserva,93,55.0,Southern Italy,Taurasi,,Donnachiara 2012 Riserva  (Taurasi),Aglianico,Donnachiara
49411,49411,US,"This is a pretty wine, forward and fruit-driven, with orange-juice highlights around cherry fruit. It's as fresh and flavorful as a Cru Beaujolais, ready for immediate enjoyment and best consumed sometime this decade.",,88,28.0,Oregon,Willamette Valley,Willamette Valley,Child's Play 2014 Pinot Noir (Willamette Valley),Pinot Noir,Child's Play
112256,112256,US,"This barrel-fermented white wine from Jesse Katz of Devil Proof and Aperture Wines is impressively layered and complex. A reductive whiff of petrol leads on the nose yet the palate is juicy, showing a wealth of peach skin and green apple. A bite of acidity supports its fresh, fruity core.",,93,38.0,California,Sonoma County,Sonoma,The Setting 2016 Sauvignon Blanc (Sonoma County),Sauvignon Blanc,The Setting
79342,79342,US,"A rich, somewhat one-dimensional wine. It has ripe orange, peach, lemon and lime flavors, brightened with plenty of zesty acidity.",,85,18.0,California,Napa Valley,Napa,Barlow 2012 Sauvignon Blanc (Napa Valley),Sauvignon Blanc,Barlow
47828,47828,US,"Depth and complexity typify this mountain Cabernet. There's plenty of concentrated blackberry and black currant fruit, but also intriguing notes of olives, dark chocolate and minerals. A little soft, but fine for drinking now and through 2015.",,89,55.0,California,Mount Veeder,Napa,Hess Collection 2009 Cabernet Sauvignon (Mount Veeder),Cabernet Sauvignon,Hess Collection
76564,76564,Italy,"This stunning, full-bodied wine is in the running as one of the best white wines in Italy. It's perfumed with acacia flower, Spanish broom, beeswax, flint and tree fruit. The delicious palate delivers green apple, Anjou pear and mineral sensations of mesmerizing depth. It will develop even more complexity over time. Drink through 2025.",Pietramarina Bianco Superiore,95,45.0,Sicily & Sardinia,Etna,,Benanti 2010 Pietramarina Bianco Superiore  (Etna),Carricante,Benanti
125271,125271,US,"Zinfandel is joined by Mourvèdre and a few other minor grape varieties in this overtly sweet, high alcohol wine. It's soft and glyceriney, with cherry, blueberry, dark chocolate and pepper flavors. You have to give it credit for being true to its style.",Especiale,88,40.0,California,Paso Robles,Central Coast,Peachy Canyon 2010 Especiale Zinfandel (Paso Robles),Zinfandel,Peachy Canyon
2811,2811,US,"This wine displays generous aromas of white pepper, woodspice, raspberry and cherry. The flavors are elegant with a peppery finish.",Verhey Vineyard,87,30.0,Washington,Yakima Valley,Columbia Valley,:Nota Bene 2011 Verhey Vineyard Malbec (Yakima Valley),Malbec,:Nota Bene
52351,52351,Italy,"You'll find aromas of elderflower, hay, crushed rock and a whiff of exotic fruit on this linear white. On the bright palate, assertive acidity underscores grapefruit, green melon, chopped herb and mineral.",Flora,88,45.0,Northeastern Italy,Alto Adige,,Girlan 2014 Flora Sauvignon (Alto Adige),Sauvignon,Girlan
6803,6803,US,"This is a very big, rich, extracted Pinot. While it's undeniably delicious, it's so stuffed with cherry-pie filling, black raspberry, mocha and cola flavors, it lacks subtlety, especially at this price. Give it a good, long decant and drink now.",Estines Vineyard,89,42.0,California,Russian River Valley,Sonoma,Hawley 2010 Estines Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Hawley
39390,39390,US,"Tart and tangy, these recently grafted Riesling vines deliver just-ripe flavors of Meyer lemon, lime, grapefruit and pineapple. It's close to a fruit bomb, but the significant acid underpinning keeps it juicy and gives it extra lift.",Wichmann Dundee Dry,92,28.0,Oregon,Dundee Hills,Willamette Valley,Trisaetum 2015 Wichmann Dundee Dry Riesling (Dundee Hills),Riesling,Trisaetum
41391,41391,Spain,"Deep berry aromas blend with sweet, creamy, spicy oak notes on the nose of this cellar-worthy bruiser, which is live-wire, energetic and holding a lot in reserve. A full allotment of oak-driven flavors include coffee, mocha, pepper, baked berry and chocolate. On the finish, it's huge and tastes of toast, medicinal berry and chocolate-drenched cherries. Drink from 2015–2025.",Malleolus,94,50.0,Northern Spain,Ribera del Duero,,Emilio Moro 2010 Malleolus  (Ribera del Duero),Tinto Fino,Emilio Moro
42696,42696,US,"Simple and sweet. Tastes like canned juices of pineapples, peaches and pears, with a hint of vanilla and smoke.",Casa Azul Vineyard Dijon,83,12.0,California,California,California Other,Watts 2007 Casa Azul Vineyard Dijon Chardonnay (California),Chardonnay,Watts
4744,4744,US,"Spice and melons illuminate the nose; the wine displays amazing concentration, with deep, syrupy peach and apricot fruit, and a bit of sugar and toasted coconut in the finish. Good acid balance. It's still very young, but immediately delicious.",Ice Wine,90,19.0,Washington,Yakima Valley,Columbia Valley,Kiona 1999 Ice Wine Chenin Blanc (Yakima Valley),Chenin Blanc,Kiona
90235,90235,US,"Thin and harsh, with punchy acidity punctuating sour blackberry candy and oak-like notes.",,82,15.0,California,Monterey County,Central Coast,Lockwood 2011 Cabernet Sauvignon (Monterey County),Cabernet Sauvignon,Lockwood
74809,74809,Italy,"Olmaia is a pure expression of Cabernet Sauvignon that hits all the right marks. You can taste the variety's natural flavors but they never seem green or medicinal. Instead the wine is plush, soft, round and opulent, with ideal harmony and balance and beautiful delivery of chocolate, cherry, vanilla and herbal aromas. The wine almost exaggerates, if possible, its generosity and roundness.",Olmaia,95,75.0,Tuscany,Sant'Antimo,,Col d'Orcia 2004 Olmaia Cabernet Sauvignon (Sant'Antimo),Cabernet Sauvignon,Col d'Orcia
129215,129215,Italy,There's a really nice point of mature peach or apricot that emerges from the fragrant bouquet of this luminous and bright Pinot Grigio. That fruity note adds a sweet sensation to the nose followed by aromas of passion fruit and citrus.,Le Rosse,86,15.0,Northeastern Italy,Delle Venezie,,Tommasi 2010 Le Rosse Pinot Grigio (Delle Venezie),Pinot Grigio,Tommasi
54811,54811,Argentina,"Floral and citric, with clean, juicy aromas that conjure memories of orange blossoms and fresh lime. The palate is light and mildly citric, with melon and papaya flavors bringing a tropical edge. Ready to drink now.",,87,11.0,Mendoza Province,Mendoza,,Zolo 2009 Torrontés (Mendoza),Torrontés,Zolo
32228,32228,US,"A full-bodied wine with a style that incorporates richness in the aromas and restraint in the flavors. It smells sweet and candylike, but tastes dry and oaky. A touch of walnut on the palate adds an austerity that is smoothed over on the finish with a dash of sweet oak.",,85,25.0,California,Yorkville Highlands,North Coast,Wattle Creek 2012 Chardonnay (Yorkville Highlands),Chardonnay,Wattle Creek
67827,67827,France,"A stylish nonvintage brut, offering the right mix of character and functionality. Aromas are the standard green apple and bread dough. It’s maybe a little neutral, but the appley palate is clean, and it finishes with length and power.",Bouzy Brut,86,32.0,Champagne,Champagne,,De Saint Gall NV Bouzy Brut  (Champagne),Champagne Blend,De Saint Gall
27421,27421,Italy,"This Barolo's lovely Nebbiolo fragrance shows violet and earthy notes of forest floor with hints of mushroom and truffle. The palate is not fully open, but shows bright cherry, menthol and white pepper notes, as well as bracing but elegant tannins.",Carobric,91,90.0,Piedmont,Barolo,,Paolo Scavino 2009 Carobric  (Barolo),Nebbiolo,Paolo Scavino
2755,2755,France,"A light, easy and cheery selection, with direct aromas and flavors of sweet cherry, red raspberry and strawberry. The mouthfeel is soft and approachable, with virtually no tannins and a clean, short finish. Drink up.",,84,11.0,Languedoc-Roussillon,Pays d'Oc,,Le Petit Cochonnet 2015 Pinot Noir (Pays d'Oc),Pinot Noir,Le Petit Cochonnet
90360,90360,US,"A superb tannic-acid structure is allied with complex black currant, grilled meat bone and smoky oak flavors that finish dry, long and spicy. The cépage is Cabernet Sauvignon, Tempranillo, Syrah, Petit Verdot, Malbec and Cabernet Franc, making it one of the most compelling blends available today from Napa Valley. Give it until 2017–2018 in the cellar to begin to mellow.",The Doctor,93,90.0,California,Napa Valley,Napa,Krupp Brothers 2011 The Doctor Red (Napa Valley),Red Blend,Krupp Brothers
4141,4141,France,"This ripe wine is full of minerality and rich white and yellow fruit. Still young, it's deliciously creamy and bright, showing great potential for aging into something serious. Drink from 2020.",Preuses Grand Cru,92,80.0,Burgundy,Chablis,,Simonnet-Febvre 2014 Preuses Grand Cru  (Chablis),Chardonnay,Simonnet-Febvre
94741,94741,US,"This nervy, tangy, tantalizing wine smells like rhubarb-strawberry pie, tastes lively and fresh, and has a firm texture due to a healthy mix of tannins and acidity. This wine shows how appealing and distinctive a full-bodied but balanced Pinot can be.",Oppenlander Vineyard,92,45.0,California,Mendocino County,,Campovida 2012 Oppenlander Vineyard Pinot Noir (Mendocino County),Pinot Noir,Campovida
21044,21044,Argentina,"Leathery, rubbery aromas are pinched, stalky and unripe. This Patagonian blend is drawing and astringent, with bland, cool-climate red-berry flavors that have an herbal streak. Saucy, tannic and heavy on the finish, this ends with a note of salami and fennel.",Los Cisnes Coalescence,83,25.0,Other,Alto Valle del Río Negro,,Verum 2012 Los Cisnes Coalescence Red (Alto Valle del Río Negro),Red Blend,Verum
74320,74320,France,"This ripe wine is full of tropical and citrus fruits, with some extra weight from the hint of wood. Fine and balanced, it reveals the smooth richness of 100% Sémillon.",Cuvée Prestige,89,10.0,Bordeaux,Bordeaux Blanc,,Château Haut Guillebot 2011 Cuvée Prestige  (Bordeaux Blanc),Sémillon,Château Haut Guillebot
59484,59484,France,"This is a soft wine that has plenty of red-berry fruits, bright acidity and a light fruity texture. It is dry although the softness gives it an apparent sweetness. Drink now.",La Galope,84,12.0,Southwest France,Côtes de Gascogne,,Domaine de l'Herré 2015 La Galope Rosé (Côtes de Gascogne),Rosé,Domaine de l'Herré
96390,96390,US,"Barrel aromas of vanilla and spice are initially in the lead on this Cabernet Sauvignon (71%) dominant blend along with blistered red pepper. The palate offers reserved cherry and herb flavors, bright acidity and grainy tannins.",Monolith,88,36.0,Washington,Columbia Valley (WA),Columbia Valley,Elevation Cellars 2010 Monolith Red (Columbia Valley (WA)),Bordeaux-style Red Blend,Elevation Cellars
68168,68168,France,"Tender notes of citrus appear at first through a veil of yeast. Their zestiness then fills out with subtle, earthy spice. On the light, dry palate, the true subtlety hits: wafts of lemon, aromatic wild thyme, Seville orange zest, fresh apple peel and wet stone. The delicacy of the concentrated body is astonishing, with a central vein of lemony freshness that provides a focal point. So subtle, so layered and alive: with every new sip new nuances occur.",Clos Windsbuhl,94,80.0,Alsace,Alsace,,Domaine Zind-Humbrecht 2013 Clos Windsbuhl Riesling (Alsace),Riesling,Domaine Zind-Humbrecht
96345,96345,US,"Smoky and minty, this full-bodied effort shows grit and oak, with tannin on the back of the palate. That grittiness continues in a gravelly way in texture, rounded by strawberry and black tea.",,90,38.0,California,Carneros,Napa-Sonoma,Pure Cru 2014 Pinot Noir (Carneros),Pinot Noir,Pure Cru
36692,36692,US,"Baked red cherries and strawberry paste form the pretty components on the nose of this bottling from four vineyards and five clones, but more poignant twists comes from black sage, chipped slate and pepper dust. The cranberry fruit is quite restrained on the palate, which instead shows lots of pepper, bay leaf, rose petal and dried fennel. It offers lots of energy and depth.",,91,45.0,California,Sta. Rita Hills,Central Coast,Jamie Slone Wines 2014 Pinot Noir (Sta. Rita Hills),Pinot Noir,Jamie Slone Wines
23378,23378,US,"A lush, smooth and frankly delicious Syrah that exhibits the only-in-California style. Fruit doesn't get much riper than this bottle of blueberries and chocolate. But with finely ground tannins and good acidity, it has proper structure. Drink over the next two years for freshness.",,92,36.0,California,Napa Valley,Napa,Eponymous 2009 Syrah (Napa Valley),Syrah,Eponymous
63337,63337,France,"Tangy caramel and fruit drop flavors give a wine that's very drinkable. This is off dry, which gives a soft texture and great fruitiness. It would drink best as an apéritif.",,84,19.0,Provence,Côtes de Provence,,Domaine Sainte Croix La Manuelle 2014 Rosé (Côtes de Provence),Rosé,Domaine Sainte Croix La Manuelle
18814,18814,US,"Tree bark and pine needles mark the aromas, adding woodsy complexity and weight to ripe black cherries. Full and somewhat backward, this needs a few years to sort itself out and fully express its generous nature, but you can sense the future now in its power and velvety texture.",Freedom Hill Vineyard,91,48.0,Oregon,Willamette Valley,Willamette Valley,Panther Creek 1998 Freedom Hill Vineyard Pinot Noir (Willamette Valley),Pinot Noir,Panther Creek
52172,52172,US,"This offers everything you want in a Napa Cabernet, and at a decent price. It's dry, balanced in acidity and tannins, and elegantly constructed, with classic blackberry and cassis liqueur flavors touched by oak. Not an ager, and doesn't pretend to be; just a nice wine to drink now.",,90,25.0,California,Napa Valley,Napa,B Side 2011 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,B Side
66164,66164,France,"Olivier Doujon made only 7,000 bottles of this 100% Merlot at the family estate in Fronsac. Rounded and ripe, this is a full-bodied wine with great fruitiness and attractive acidity. Well balanced, it offers red-cherry flavors with an edge of pepper. Drink the wine now.",,88,13.0,Bordeaux,Bordeaux Rosé,,Château Magondeau 2016 Rosé (Bordeaux Rosé),Rosé,Château Magondeau
113448,113448,US,"This wine hails from a variety of Dutton family vineyards, many of them popular vineyard designates of their own. Together they show a deftness of blending, offering bright acidity within a lighthearted context of licorice and wild strawberry. The juicy core is further embellished in huckleberry and blueberry, finishing in a mild hit of nutmeg.",Dutton Ranch,90,44.0,California,Russian River Valley,Sonoma,Dutton-Goldfield 2015 Dutton Ranch Pinot Noir (Russian River Valley),Pinot Noir,Dutton-Goldfield
81621,81621,US,"Shows the estate vineyard's signature in the moderate alcohol, sleek, streamlined mouthfeel, bright acidity and intensity of flavor. It's laser-like in lime, mango, honey and vanilla, with minerally overtones that taste of the earth. Drink now, as it is very fine and delicious.",Estate Vineyard,92,44.0,California,Fort Ross-Seaview,Sonoma,Failla 2011 Estate Vineyard Chardonnay (Fort Ross-Seaview),Chardonnay,Failla
122668,122668,France,"This shows the lean character that comes from the vintage. But it's balanced with juicy black-fruit flavors and soft tannins that are now maturing. This is attractrive for a light, ready-to-drink wine.",,89,74.0,Bordeaux,Pauillac,,Château Béhèré Courtin 2007  Pauillac,Bordeaux-style Red Blend,Château Béhèré Courtin
67732,67732,Italy,"Aromas of fragrant yellow flower, apple and a whiff of hazelnut come together on this structured white. The bright palate offers Kaiser pear, nectarine zest and a honeyed note alongside vibrant acidity.",,89,15.0,Northeastern Italy,Collio,,Ronco Blanchis 2013 Friulano (Collio),Friulano,Ronco Blanchis
87773,87773,Italy,"Fragrant white flower, orchard fruit and a touch of flint lead the nose. The linear, lively palate shows mature apple, nectarine zest and mineral alongside vibrant acidity. The flavors follow through to the tangy finish.",,88,21.0,Northeastern Italy,Alto Adige,,Kettmeir 2014 Pinot Grigio (Alto Adige),Pinot Grigio,Kettmeir
102594,102594,US,"A simple Pinot Noir, with candied raspberry and cherry flavors. There's a green, unripe streak that detracts.",Kali Hart,82,21.0,California,Monterey,Central Coast,Talbott 2011 Kali Hart Pinot Noir (Monterey),Pinot Noir,Talbott
123864,123864,US,"This wine is smooth and complete, from the jammy fruit aromas to the slightly oak-accented flavors to the lingering, seemingly sweet finish. This limited bottling fermented with native yeast picks up attractive toast, vanilla and nutmeg flavors that enhance the ripe, pure raspberry and blackberry notes that fill out the full body.",Lodi Native Soucie Vineyard,89,35.0,California,Mokelumne River,Central Valley,M2 2012 Lodi Native Soucie Vineyard Zinfandel (Mokelumne River),Zinfandel,M2
94514,94514,US,"Packaged in a sexy, Champagne-style bottle, this 100% Grenache is firm and substantial. It underscores fruit flavors of peach, apricot and melon with appealing minerality.",Lawrence Vineyards Grand Klasse,91,22.0,Washington,Columbia Valley (WA),Columbia Valley,Gård 2013 Lawrence Vineyards Grand Klasse Rosé (Columbia Valley (WA)),Rosé,Gård
124605,124605,Italy,"Nebbiolo, the grape, and Nubiola, the designate name, stem from the same Italian word: nebbia, or “fog” that regularly blankets the Langhe. This bright Barbaresco is defined by a distinctive aroma of tar or freshly applied street asphalt that is typical of the variety. Additional aromas include back fruit, prune and plum. The mouthfeel is streamlined, tight and elegant.",Nubiola,92,38.0,Piedmont,Barbaresco,,Pelissero 2007 Nubiola  (Barbaresco),Nebbiolo,Pelissero
47449,47449,France,Rich hints of juicy pear on the nose lead to an equally fruity palate. The pear notes and juiciness are boosted by slight sweetness that is held in check by lovely texture and clean freshness. The finish is off dry.,Les Natures,89,28.0,Alsace,Alsace,,Jean-Baptiste Adam 2014 Les Natures Pinot Gris (Alsace),Pinot Gris,Jean-Baptiste Adam
14243,14243,US,"A toasty streak of espresso-flavored richness marks this single-vineyard offering. The fruit is ripe and clean, with a tart red-berry flavor at the core.",Corral Creek Vineyards,88,48.0,Oregon,Chehalem Mountains,Willamette Valley,Chehalem 2010 Corral Creek Vineyards Pinot Noir (Chehalem Mountains),Pinot Noir,Chehalem
100936,100936,US,"A leathery texture gives this wine a rough, roguish edge, around flavors of baked plum and mocha. Medium bodied, it's approachable and ready to enjoy now.",Two Acre Villa Andriana Vineyard,86,40.0,California,Calistoga,Napa,Summers 2013 Two Acre Villa Andriana Vineyard Zinfandel (Calistoga),Zinfandel,Summers
23201,23201,US,"Half of the grapes in this wine were fermented on the skins for almost a month and aged in old barrels, offering something completely different from the producer's standard wine from this varietal. Indeed orange in color, it veers metallic on the palate, before relaxing into a mix of honey and preserved lemon—the texture somewhat unctuous despite a restrained level of alcohol.",Catie's Corner Cuvée Orange,90,26.0,California,Russian River Valley,Sonoma,Joseph Swan Vineyards 2014 Catie's Corner Cuvée Orange Grenache Blanc (Russian River Valley),Grenache Blanc,Joseph Swan Vineyards
27877,27877,US,"Young and yeasty, this seemingly off-dry Viognier rounds out in the mouth with appealing scents and flavors of lemon, lime, jasmine and honey.",Estate,89,20.0,Washington,Columbia Valley (WA),Columbia Valley,Cave B 2011 Estate Viognier (Columbia Valley (WA)),Viognier,Cave B
84828,84828,France,"Firmly structured, this dark wine has smoky tannins and intense acidity combined in a texture that is dusty, almost dry at the core. Over this the ripe red fruits are spread thickly, giving a powerful concentrated wine that will age well. Drink from 2022.",,95,279.0,Burgundy,Echézeaux,,Domaine Faiveley 2014  Echézeaux,Pinot Noir,Domaine Faiveley
105166,105166,US,"Aromas of pear, lees and tropical fruit lead to a rich flavorful palate, absolutely loaded with tropical-fruit flavors that show a delightful sense of balance. The oak usage (25% new French) is judicious, allowing the fruit to shine.",Ysabella Bjork,92,45.0,Washington,Columbia Valley (WA),Columbia Valley,Morell-Peña 2015 Ysabella Bjork Chardonnay (Columbia Valley (WA)),Chardonnay,Morell-Peña
3015,3015,Italy,"This blend of Sangiovese and Cabernet Sauvignon opens with impressive intensity, with notes of bold cherry, crushed black pepper, clove, dried currant and tobacco. The mouthfeel is velvety and rich, with a touch of bright acidity on the finish.",Il Querciolaia,92,60.0,Tuscany,Colli della Toscana Centrale,,Castello di Querceto 2008 Il Querciolaia Red (Colli della Toscana Centrale),Red Blend,Castello di Querceto
21112,21112,France,"On the sweet side, this is a rich, almost honeyed wine. It has deliciously ripe fruit, lychees and fragrant lemon. Full and generous, the wine still manages to keep some good freshness. It is young, so drink from 2017.",Zotzenberg Grand Cru,92,34.0,Alsace,Alsace,,Jean-Marc Bernhard 2011 Zotzenberg Grand Cru Gewurztraminer (Alsace),Gewürztraminer,Jean-Marc Bernhard
26671,26671,US,"Grown in the very cool central-southwestern part of the appellation, by Sebastopol, this Pinot features crisp, mouthwatering acidity. And, in this wonderfully long hangtime vintage, its flavors are extraordinarily rich and pure, brimming with cherries and raspberries. It shows layers of complexity, yet is too young, with the parts unintegrated. Give it 4–5 years in a cool cellar.",Jenkins Vineyard,93,70.0,California,Russian River Valley,Sonoma,Lynmar 2007 Jenkins Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Lynmar
46302,46302,Italy,"This oak-aged Vermentino is pristine and fresh in style, and the palate offers some heft. Nuances of exotic fruit, lemon zest, apricot and almond cream appear on the finish.",Grattamacco,89,55.0,Tuscany,Bolgheri,,Collemassari 2011 Grattamacco Vermentino (Bolgheri),Vermentino,Collemassari
