,country,description,designation,points,price,province,region_1,region_2,title,variety,winery,town,lat,lng
700,US,"Tannic and powerfully built, Muscardini's Sangiovese veers into slightly sour-currant territory and offers a long, leathery finish.",Pauli Ranch,86,36.0,California,Redwood Valley,,Muscardini 2010 Pauli Ranch Sangiovese (Redwood Valley),Sangiovese,Muscardini,Redwood Valley,39.26544,-123.20445
709,US,"Rich and concentrated in red cherry, cigar and plum, this demurely approachable and enjoyable wine has the legs to age. Structured and tightly drawn, it holds a tannic overbite that eases in the glass. Cellar through 2017.",Estate Grown,91,70.0,California,Napa Valley,Napa,Joseph Phelps 2012 Estate Grown Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Joseph Phelps,California City,35.113893,-117.982087
710,US,"Fragrant, with notes of ripe cherry and strawberry, this brisk, bright Pinot Noir is delicately framed, but juicy with nervy sour-cherry and cranberry flavors. Drying tannins make this an elegant food wine to pair with even robust poultry or pork dishes.",,86,15.0,New York,Finger Lakes,Finger Lakes,Heron Hill 2010 Pinot Noir (Finger Lakes),Pinot Noir,Heron Hill,Mount Morris,42.727035,-77.880866
722,US,"Well made in a light, easy style, this wine has classic aromas like dried cherry and cinnamon, and dry, appetizing flavors like sour cherry and rhubarb. It will make a great house wine at this reasonable price.",,87,15.0,California,California,California Other,Murphy-Goode 2014 Pinot Noir (California),Pinot Noir,Murphy-Goode,Healdsburg,38.6099793,-122.8712305
727,France,"Tense and structured, this is a firm, concentrated wine from the top vineyard in the appellation. It has tight acidity as well as red-currant flavors. The structure is still firm and condensed, and the wine will need time. It has potential; drink from 2019.",Ile de Vergelesses Premier Cru,90,65.0,Burgundy,Pernand-Vergelesses,,Louis Latour 2014 Ile de Vergelesses Premier Cru  (Pernand-Vergelesses),Pinot Noir,Louis Latour,Pernand-Vergelesses,47.07961,4.85028
731,Spain,"Gold in color and loaded with heavily toasted, resiny barrel aromas. The palate is lush and Burgundian, with lemon, baked apple, woodspice and white pepper flavors. Toasty and well structured for a barrel-fermented Spanish white.",Colleita Seleccionada,89,35.0,Galicia,Ribeiro,,Coto de Gomariz 2009 Colleita Seleccionada White (Ribeiro),White Blend,Coto de Gomariz,Ribeiro,42.01831,-7.92239
741,US,"This is a fruit-driven wine showing lots of apple and melon aromas, broad peach and apple flavors and a generous texture. It's very tasty and refreshing and has touch of sweetness.",Echo Ridge,87,10.0,California,Lodi,Central Valley,Fetzer 2014 Echo Ridge Sauvignon Blanc (Lodi),Sauvignon Blanc,Fetzer,California City,35.187133,-117.885359
743,US,"Mostly Sangiovese with a small dose of Petit Verdot, this has attractive vanilla, dark cherry and spice aromatics, but a green, stalky note that lingers throughout. Supple tannins mingle pleasantly with tobacco and smoke on the palate.",Riserva,84,17.0,North Carolina,Swan Creek,,Raffaldini 2007 Riserva Sangiovese (Swan Creek),Sangiovese,Raffaldini,Swan Creek,36.17847,-80.86896
765,US,"Quite fruity and straightforward, with pleasant peach, melon and citrus flavors. The finish is clean and fresh and the wine well balanced.",Private Selection,84,9.0,California,Central Coast,Central Coast,Robert Mondavi 2002 Private Selection Johannisberg Riesling (Central Coast),Johannisberg Riesling,Robert Mondavi,Shasta Lake,40.687573,-122.374129
768,US,"A strong percentage of Petit Verdot (14%) marks this wine, a mouthful of sanguine cranberry and lightly ripe red fruit that's high in acidity and balanced by a richer dollop of milk chocolate, particularly on the finish.",Reserve,88,110.0,California,Rutherford,Napa,Round Pond 2011 Reserve Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,Round Pond,Wasco,35.717323,-119.508416
770,France,"From vines in the heart of the Entre-deux-Mers, this 85% Merlot wine is rich with layers of young black fruit and spicy wood flavors. It is still a young, structured wine and needs time for the powerful tannins to soften. Drink from 2019.",,87,26.0,Bordeaux,Bordeaux,,Château Jean de Bel Air 2015  Bordeaux,Bordeaux-style Red Blend,Château Jean de Bel Air,Bordeaux,44.84044,-0.5805
771,US,"Blended almost equally with Sauvignon Blanc and Semillon, and aged in French oak, this white Bordeaux-style wine has plenty to like. It's ripe in Meyer lemons, limes, tropical fruits and peaches, brightened with crisp acidity. Finishes a little lush and ripe.",Purety,86,22.0,California,Napa Valley,Napa,Pure Cru 2010 Purety White (Napa Valley),Bordeaux-style White Blend,Pure Cru,Napa,38.309976,-122.27422
772,US,"Soft and simple, this has apricot, peach and cream flavors that finish sweet and jammy.",Spirit Hawk,84,15.0,California,California,California Other,Lander-Jenkins 2009 Spirit Hawk Chardonnay (California),Chardonnay,Lander-Jenkins,California City,35.125624,-118.021353
780,France,"Vines planted in 1934 are behind this smooth and concentrated wine. It has red-berry crispness as well as a cool crisp texture from acidity and tannins. With aging potential, the wine is perfumed and still firm. Drink from 2019.",Vieilles Vignes,92,63.0,Burgundy,Volnay,,Roche de Bellene 2014 Vieilles Vignes  (Volnay),Pinot Noir,Roche de Bellene,Volnay,47.00107,4.78179
786,US,"Depth and complexity typify this mountain Cabernet. There's plenty of concentrated blackberry and black currant fruit, but also intriguing notes of olives, dark chocolate and minerals. A little soft, but fine for drinking now and through 2015.",,89,55.0,California,Mount Veeder,Napa,Hess Collection 2009 Cabernet Sauvignon (Mount Veeder),Cabernet Sauvignon,Hess Collection,Kernville,35.755511,-118.429804
788,US,"Zinfandel is joined by Mourvèdre and a few other minor grape varieties in this overtly sweet, high alcohol wine. It's soft and glyceriney, with cherry, blueberry, dark chocolate and pepper flavors. You have to give it credit for being true to its style.",Especiale,88,40.0,California,Paso Robles,Central Coast,Peachy Canyon 2010 Especiale Zinfandel (Paso Robles),Zinfandel,Peachy Canyon,Paso Robles,35.6218302,-120.7110871
789,US,"This wine displays generous aromas of white pepper, woodspice, raspberry and cherry. The flavors are elegant with a peppery finish.",Verhey Vineyard,87,30.0,Washington,Yakima Valley,Columbia Valley,:Nota Bene 2011 Verhey Vineyard Malbec (Yakima Valley),Malbec,:Nota Bene,Yakima,46.547726,-120.476597
792,US,"Tart and tangy, these recently grafted Riesling vines deliver just-ripe flavors of Meyer lemon, lime, grapefruit and pineapple. It's close to a fruit bomb, but the significant acid underpinning keeps it juicy and gives it extra lift.",Wichmann Dundee Dry,92,28.0,Oregon,Dundee Hills,Willamette Valley,Trisaetum 2015 Wichmann Dundee Dry Riesling (Dundee Hills),Riesling,Trisaetum,McMinnville,45.229137,-123.274444
797,Italy,"Olmaia is a pure expression of Cabernet Sauvignon that hits all the right marks. You can taste the variety's natural flavors but they never seem green or medicinal. Instead the wine is plush, soft, round and opulent, with ideal harmony and balance and beautiful delivery of chocolate, cherry, vanilla and herbal aromas. The wine almost exaggerates, if possible, its generosity and roundness.",Olmaia,95,75.0,Tuscany,Sant'Antimo,,Col d'Orcia 2004 Olmaia Cabernet Sauvignon (Sant'Antimo),Cabernet Sauvignon,Col d'Orcia,Sant'Antimo,42.99963,11.51563
800,US,"A full-bodied wine with a style that incorporates richness in the aromas and restraint in the flavors. It smells sweet and candylike, but tastes dry and oaky. A touch of walnut on the palate adds an austerity that is smoothed over on the finish with a dash of sweet oak.",,85,25.0,California,Yorkville Highlands,North Coast,Wattle Creek 2012 Chardonnay (Yorkville Highlands),Chardonnay,Wattle Creek,Highlands,37.51994,-122.34386
802,Italy,"This Barolo's lovely Nebbiolo fragrance shows violet and earthy notes of forest floor with hints of mushroom and truffle. The palate is not fully open, but shows bright cherry, menthol and white pepper notes, as well as bracing but elegant tannins.",Carobric,91,90.0,Piedmont,Barolo,,Paolo Scavino 2009 Carobric  (Barolo),Nebbiolo,Paolo Scavino,Barolo,44.61094,7.94284
804,US,"A superb tannic-acid structure is allied with complex black currant, grilled meat bone and smoky oak flavors that finish dry, long and spicy. The cépage is Cabernet Sauvignon, Tempranillo, Syrah, Petit Verdot, Malbec and Cabernet Franc, making it one of the most compelling blends available today from Napa Valley. Give it until 2017–2018 in the cellar to begin to mellow.",The Doctor,93,90.0,California,Napa Valley,Napa,Krupp Brothers 2011 The Doctor Red (Napa Valley),Red Blend,Krupp Brothers,California City,35.113893,-117.982087
805,France,"This ripe wine is full of minerality and rich white and yellow fruit. Still young, it's deliciously creamy and bright, showing great potential for aging into something serious. Drink from 2020.",Preuses Grand Cru,92,80.0,Burgundy,Chablis,,Simonnet-Febvre 2014 Preuses Grand Cru  (Chablis),Chardonnay,Simonnet-Febvre,Chablis,47.81386,3.79835
808,France,"This ripe wine is full of tropical and citrus fruits, with some extra weight from the hint of wood. Fine and balanced, it reveals the smooth richness of 100% Sémillon.",Cuvée Prestige,89,10.0,Bordeaux,Bordeaux Blanc,,Château Haut Guillebot 2011 Cuvée Prestige  (Bordeaux Blanc),Sémillon,Château Haut Guillebot,Bordeaux,44.84044,-0.5805
817,US,"This offers everything you want in a Napa Cabernet, and at a decent price. It's dry, balanced in acidity and tannins, and elegantly constructed, with classic blackberry and cassis liqueur flavors touched by oak. Not an ager, and doesn't pretend to be; just a nice wine to drink now.",,90,25.0,California,Napa Valley,Napa,B Side 2011 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,B Side,Napa,38.302226,-122.293911
818,France,"Olivier Doujon made only 7,000 bottles of this 100% Merlot at the family estate in Fronsac. Rounded and ripe, this is a full-bodied wine with great fruitiness and attractive acidity. Well balanced, it offers red-cherry flavors with an edge of pepper. Drink the wine now.",,88,13.0,Bordeaux,Bordeaux Rosé,,Château Magondeau 2016 Rosé (Bordeaux Rosé),Rosé,Château Magondeau,Bordeaux,44.84044,-0.5805
820,US,"Shows the estate vineyard's signature in the moderate alcohol, sleek, streamlined mouthfeel, bright acidity and intensity of flavor. It's laser-like in lime, mango, honey and vanilla, with minerally overtones that taste of the earth. Drink now, as it is very fine and delicious.",Estate Vineyard,92,44.0,California,Fort Ross-Seaview,Sonoma,Failla 2011 Estate Vineyard Chardonnay (Fort Ross-Seaview),Chardonnay,Failla,Seaview,38.54547,-123.22806
821,France,"This shows the lean character that comes from the vintage. But it's balanced with juicy black-fruit flavors and soft tannins that are now maturing. This is attractrive for a light, ready-to-drink wine.",,89,74.0,Bordeaux,Pauillac,,Château Béhèré Courtin 2007  Pauillac,Bordeaux-style Red Blend,Château Béhèré Courtin,Bordeaux,44.84044,-0.5805
827,Italy,"Nebbiolo, the grape, and Nubiola, the designate name, stem from the same Italian word: nebbia, or “fog” that regularly blankets the Langhe. This bright Barbaresco is defined by a distinctive aroma of tar or freshly applied street asphalt that is typical of the variety. Additional aromas include back fruit, prune and plum. The mouthfeel is streamlined, tight and elegant.",Nubiola,92,38.0,Piedmont,Barbaresco,,Pelissero 2007 Nubiola  (Barbaresco),Nebbiolo,Pelissero,Barbaresco,44.72324,8.08194
830,US,"A leathery texture gives this wine a rough, roguish edge, around flavors of baked plum and mocha. Medium bodied, it's approachable and ready to enjoy now.",Two Acre Villa Andriana Vineyard,86,40.0,California,Calistoga,Napa,Summers 2013 Two Acre Villa Andriana Vineyard Zinfandel (Calistoga),Zinfandel,Summers,Tehachapi,35.070366,-118.409481
835,Italy,"This blend of Sangiovese and Cabernet Sauvignon opens with impressive intensity, with notes of bold cherry, crushed black pepper, clove, dried currant and tobacco. The mouthfeel is velvety and rich, with a touch of bright acidity on the finish.",Il Querciolaia,92,60.0,Tuscany,Colli della Toscana Centrale,,Castello di Querceto 2008 Il Querciolaia Red (Colli della Toscana Centrale),Red Blend,Castello di Querceto,Centrale,43.23647,10.86753
838,Italy,"This oak-aged Vermentino is pristine and fresh in style, and the palate offers some heft. Nuances of exotic fruit, lemon zest, apricot and almond cream appear on the finish.",Grattamacco,89,55.0,Tuscany,Bolgheri,,Collemassari 2011 Grattamacco Vermentino (Bolgheri),Vermentino,Collemassari,Bolgheri,43.23391,10.6194
840,France,"Potentially an aromatic wine that will develop a rich, velvety character. At this young stage, the fruit is dominated by firm tannins that sit at the heart of the wine. It has all the density for a good development, aging over 5–10 years.",,91,37.0,Bordeaux,Margaux,,Château la Bessane 2008  Margaux,Bordeaux-style Red Blend,Château la Bessane,Bordeaux,44.84044,-0.5805
843,US,"This powerful and densely packed sweet wine has a color that's nearly black except for a dark garnet rim, aromas of wood smoke and dark chocolate and flavors like espresso, blueberry syrup and black pepper. It's very high in alcohol, hot on the palate and about as bold as a wine can get.",Port,88,38.0,California,Redwood Valley,,Powicana Farm 2015 Port Petite Sirah (Redwood Valley),Petite Sirah,Powicana Farm,Redwood Valley,39.26544,-123.20445
852,France,"This fine estate has produced a ripe, fruity wine in 2014. It has spice from wood aging as well as juicy black currant fruit flavors. Generously textured, it's ready to drink.",,87,18.0,Bordeaux,Bordeaux Supérieur,,Château Landereau 2014  Bordeaux Supérieur,Bordeaux-style Red Blend,Château Landereau,Bordeaux,44.84044,-0.5805
853,US,"In recent years, Precious Mountain Vineyard has provided Bob Cabral with some of his most glorious fruit. Tremendous in flash and depth, it offers compelling flavors of raspberry and cherry, accented by sweet, smoky oak. There's such complexity in the acid and tannin structure, and in the earthy, stony, spicy nuances, that you find something new to love with every sip. This masterpiece is fabulous now, and will develop bottle complexity over the next 15 years, at least.",Precious Mountain Vineyard,98,94.0,California,Sonoma Coast,Sonoma,Williams Selyem 2010 Precious Mountain Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,Williams Selyem,Kenwood,38.414811,-122.546653
856,US,"This Bordeaux-style blend is 50% Cabernet Sauvignon, with the balance a mix of Merlot, Cabernet Franc, Petit Verdot and Malbec. It's a sophisticated blend that retains its youthful freshness. Deep flavors run from black cherry through cassis, adding streaks of licorice, baking chocolate and a hint of bark and herb. Supple, graceful and polished, this wine would seem to have another decade of life ahead.",Solesce,91,50.0,Washington,Yakima Valley,Columbia Valley,Brian Carter Cellars 2008 Solesce Red (Yakima Valley),Bordeaux-style Red Blend,Brian Carter Cellars,Yakima,46.547726,-120.476597
861,US,"This blend of 43% Syrah, 31% Mourvèdre, 23%  Grenache and 3% Alicante Bouschet opens with an elegant and nuanced nose, featuring scents of blackberry crumble, lilac and other purple flowers. The tart, earthy flavors combine black raspberry and vanilla with beet root, black earth and sagebrush. A deep, heady blend.",Crux,92,45.0,California,Paso Robles,Central Coast,ONX 2012 Crux Red (Paso Robles),Rhône-style Red Blend,ONX,Paso Robles,35.62664,-120.691
863,France,"A generous wine, this is packed with red fruits as well as firmly structured. It conveys the fresh acidity of the year, with fine smoky tannins. It will be an impressive wine. Drink from 2020.",Clos de l'Ecu Premier Cru Monopole,93,76.0,Burgundy,Beaune,,Domaine Faiveley 2014 Clos de l'Ecu Premier Cru Monopole  (Beaune),Pinot Noir,Domaine Faiveley,Beaune,47.03333,4.83333
864,France,"A perfumed wine, dominated by Merlot. It shows plenty of the structure of 2010, a firm and solid wine, full of oak aging flavors at this young stage. It's going to be a rich and full wine layered with blackberry fruits as it develops over the next 4–5 years.",Maldoror,90,20.0,Bordeaux,Côtes de Bourg,,Château Fougas 2010 Maldoror  (Côtes de Bourg),Bordeaux-style Red Blend,Château Fougas,Bordeaux,44.84044,-0.5805
867,US,"Thin and green flavors dominate this Cabernet Franc. Small amounts of Merlot and Petit Verdot do not seem to have made an impact. It's sharp, stiff, and quite herbal.",Boushey Vineyard,83,21.0,Washington,Yakima Valley,Columbia Valley,Capstone Cellars 2009 Boushey Vineyard Cabernet Franc (Yakima Valley),Cabernet Franc,Capstone Cellars,Yakima,46.547726,-120.476597
873,Italy,"This wine offers a direct and immediate delivery of aromas that hits the nose in an intense and vertical fashion. The bouquet consists of dried apple skin, black currant, old spice, cola, licorice, soapy lavender and road tar. It's softer than the 2004 vintage and ends with a blast of sour cherry on the close.",Vitalotti,89,45.0,Piedmont,Barbaresco,,Boffa 2005 Vitalotti  (Barbaresco),Nebbiolo,Boffa,Barbaresco,44.72324,8.08194
875,US,"Abundant fresh floral aromas such as violet and lilac show on the nose of this bottling, with black plum and candied grape notes. The palate is straightforward, all tangy plum flavors, enhanced by dried herb, soy and reductive tar notes.",,87,25.0,California,Santa Barbara County,Central Coast,Rancho Sisquoc 2014 Syrah (Santa Barbara County),Syrah,Rancho Sisquoc,California City,35.133041,-117.996753
883,US,"Perfumed in dried herb and cigar, this is a supple, round, high-toned wine, made from largely Cabernet Sauvignon and Merlot, with smaller additions of Petit Verdot, Cabernet Franc, Malbec and Dolcetto. Red cherry dominates, almost like a kirsch, while the restrained oak makes it easy to enjoy now.",,90,28.0,California,Napa Valley,Napa,B Side 2014 Red (Napa Valley),Red Blend,B Side,Napa,38.302226,-122.293911
886,US,"This is an approachable, varietal wine, representative of the appellation in its dusty black cherry and vanilla. Succulently juicy on the palate, it offers more satisfyingly savory accents of leather and black pepper in a full-bodied, concentrated package.",The Maverick,91,75.0,California,Rutherford,Napa,Mulvane Wine Co. 2013 The Maverick Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,Mulvane Wine Co.,Rutherford,38.45852,-122.42248
888,US,"This 100% varietal wine shows aromas of herb and cherry, along with whiffs of tire rubber. The palate is both sweet and tart, pulling up on the finish. The tannins bring some grip.",Fronk,87,32.0,Washington,Yakima Valley,Columbia Valley,Armstrong Family 2014 Fronk Cabernet Franc (Yakima Valley),Cabernet Franc,Armstrong Family,Yakima,46.547726,-120.476597
889,US,"Deep aromas of blackberry, ripe raspberry, smoked meats and wet black slate emerge on the nose of this wine from one of the region's pioneers. The strong slate minerality also shows on the palate against a backdrop of sleek sanguine flavors and big, dark but not overly ripe cherry fruits.",Double L Vineyard,91,58.0,California,Santa Lucia Highlands,Central Coast,Morgan 2013 Double L Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Morgan,Highlands,37.51994,-122.34386
891,US,"A good-value Cabernet Sauvignon that's straightforward in texture, body and structure. Its dark cherry and herbal tones are just right for meaty mid-week dishes, including that old standby, roast chicken.",,85,11.0,California,North Coast,North Coast,Monogamy 2010 Cabernet Sauvignon (North Coast),Cabernet Sauvignon,Monogamy,Covina,34.080467,-117.891817
893,France,"Without big oak or big fruit to make it ungainly, this is a real food-friendly Chardonnay. The delicate floral aromas and understated yet finely etched pear and almond flavors almost seem designed to show off that special weekend dish you just spent hours making.",,86,26.0,Burgundy,Beaune,,Louis Latour 2000  Beaune,Chardonnay,Louis Latour,Beaune,47.03333,4.83333
901,France,"Finely balanced, this has plenty of weight, which shines with the fresh lemon, pear and sweet grapefruit flavors. There is some wood there, but just a hint to give texture. A big success from a fine white wine vintage, and worth aging for 3–4 years.",,94,40.0,Bordeaux,Pessac-Léognan,,Château Larrivet Haut-Brion 2007  Pessac-Léognan,Bordeaux-style White Blend,Château Larrivet Haut-Brion,Bordeaux,44.84044,-0.5805
904,US,"Fresh apple and lemon on the palate of this Lake Erie Riesling are pleasant, but overwhelmed by oddly perfumed lemon-pine and floral notes. Simple and a bit savory. Drink now.",,82,14.0,New York,Lake Erie,Finger Lakes,Mazza Chautauqua Cellars 2010 Riesling (Lake Erie),Riesling,Mazza Chautauqua Cellars,Webster,43.239964,-77.515144
906,US,"Ripe, full-bodied and delicious, this wine is big and bold, pushing the envelope with late harvest flavors, seeming sweet on the palate and the finish. It tastes like blackberry jam and dark chocolate. It would make a fine after-dinner drink, too.",,89,15.0,California,California,California Other,Renwood 2013 Zinfandel (California),Zinfandel,Renwood,American Canyon,38.1671209,-122.2417547
907,France,"Tense and dark, this has firm, dry tannins that overlay black plum skin and black fig flavors. The wine shows richness but also a foursquare solid structure and weight that is balanced by a final sweet, satisfying juicy acidity.",,88,70.0,Burgundy,Nuits-St.-Georges,,Chanson Père et Fils 2005  Nuits-St.-Georges,Pinot Noir,Chanson Père et Fils,Nuits-Saint-Georges,47.13683,4.949
910,France,"Now with its intensity and some bottle age, this wine—formerly known as Crémant de Cramant—is rich, with its apple flavor blending with an almond note and a soft, warm texture. The acidity shoots right through this ripe wine.",Mumm de Cramant Blanc de Blancs,92,62.0,Champagne,Champagne,,G. H. Mumm NV Mumm de Cramant Blanc de Blancs Chardonnay (Champagne),Chardonnay,G. H. Mumm,Champagné,48.02185,0.33096
913,US,"Rustic aromas of crushed rocks and chewing tobacco pair interestingly with more floral elements of rose petal, lilac and wisteria on the nose of this bottling. Coffee and tobacco flavors show on the palate, where muddy tannins present leathery flavors of dark red cherries. It shows its long barrel aging with pride.",Thérèse Vineyards Dos Niñas Vineyard,88,30.0,California,Santa Clara Valley,Central Coast,Martin Ranch 2013 Thérèse Vineyards Dos Niñas Vineyard Sangiovese (Santa Clara Valley),Sangiovese,Martin Ranch,Santa Clara,37.361219,-121.935942
914,US,"An intriguing nose of lemon, pineapple, vanilla and banana candies are encased in a waft of warm yeast. Flavors of honeydew, more pineapple and oak spice are folded into a saline and nutty component. The weight is plush and feels silky on the tongue.",Estate,87,20.0,Virginia,Middleburg,,Casanel 2015 Estate Chardonnay (Middleburg),Chardonnay,Casanel,Middleburg,38.998822,-77.733937
918,US,"This wine become pretty pricey but that's because consumers recognize its quality; its sheer deliciousness can't be beat. It has all the elements of fine Russian River Pinot—it's dry and has lots o f ripe fruit, pretty oak, toast and spice—and it puts them all together in a super-elegant package. The vintage is light but the wine doesn't seem to mind. Its class shows. `",Thomas Road Vineyard,90,50.0,California,Sonoma County,Sonoma,Iron Horse 1998 Thomas Road Vineyard Pinot Noir (Sonoma County),Pinot Noir,Iron Horse,California City,35.134968,-117.963781
921,US,"A delightfully elegant wine, the majority of it Merlot, this exudes cassis, pomegranate and cedar. Soft, refined tannins make it a pleasure to enjoy, made from a minuscule single-barrel lot, the grapes sourced from the hillsides of Carneros. It finishes in a refinement of dark milk chocolate.",Barrel Select,94,85.0,California,Napa Valley,Napa,Virage 2012 Barrel Select Red (Napa Valley),Bordeaux-style Red Blend,Virage,California City,35.113893,-117.982087
922,US,"Light berry fruit, pleasingly spiced, with the natural acidity of Sangiovese and a light touch with the tannins. It all makes for a light and very pretty wine.",,87,20.0,Washington,Walla Walla Valley (WA),Columbia Valley,Trio Vintners 2008 Sangiovese (Walla Walla Valley (WA)),Sangiovese,Trio Vintners,Walla Walla,46.066527,-118.299746
927,US,"This wears its 16.5% alcohol well, like a heavy but graceful dancer. It's softly sweet in glycerine, with flavors of milk chocolate and blackberry jam, sprinkled with black pepper and anisette liqueur.",,86,25.0,California,Dry Creek Valley,Sonoma,Bluenose 2008 Zinfandel (Dry Creek Valley),Zinfandel,Bluenose,California City,35.133265,-117.945277
933,US,"This wine is mostly Grenache, with about one-third Syrah blended in. There are pleasant cherry and blackberry flavors on the palate, but also a mushroomy streak that distracts. It's not likely to improve with age so drink up.",The Tiller Caliza Vineyard Russell Family Vineyards,84,52.0,California,Paso Robles,Central Coast,Dilecta 2011 The Tiller Caliza Vineyard Russell Family Vineyards Grenache-Syrah (Paso Robles),Grenache-Syrah,Dilecta,Paso Robles,35.62664,-120.691
939,US,"Initially tight and closed on the nose, displaying orange oil and anise notes, give this some time in the glass to blossom. With 22 months in French oak, the palate is smooth and silky, displaying juicy red plum and racy currant speckled with pepper and licorice.",Reserve,89,75.0,Michigan,Old Mission Peninsula,,2 Lads 2012 Reserve Cabernet Franc (Old Mission Peninsula),Cabernet Franc,2 Lads,Mason,42.518415,-84.442252
940,US,"A whirl of saddle leather, pressed plums, smoked licorice and metal hit the nose on this take on the nearly forgotten grape. The palate shows a decent amount of grip, with rustic leather and plum elements.",Private Reserve,85,25.0,California,Santa Clara Valley,Central Coast,Guglielmo 2010 Private Reserve Charbono (Santa Clara Valley),Charbono,Guglielmo,Morgan Hill,37.1457382,-121.6340779
941,US,"The blend is Pinot Noir and Chardonnay. The Brut X designation refers to the winery's driest sparkler, but the wine retains plenty of sweet, ripe strawberries, raspberries, limes, vanilla and honey. It's very good, but a minor critique is a certain roughness of texture. Drink now.",Brut X,88,50.0,California,Green Valley,Sonoma,Iron Horse 2008 Brut X Sparkling (Green Valley),Sparkling Blend,Iron Horse,California City,35.134968,-117.963781
945,US,"Saffron and spice pepper fresh lemon and grapefruit aromas on this exceptionally sheer, savory dry Riesling. A haze of citrus flavors fall like gossamer on the palate, extended by layers of dusty minerals on the finish.",Lahoma Vineyard The Knoll,87,35.0,New York,Finger Lakes,Finger Lakes,Red Newt Cellars 2013 Lahoma Vineyard The Knoll Riesling (Finger Lakes),Riesling,Red Newt Cellars,New York,40.713646,-74.003603
947,Italy,"This structured red opens with aromas of plum, underbrush, exotic spice and coffee. The palate offers black cherry, vanilla, toasted oak, anisette and espresso alongside bracing tannins that dry out the finish.",Simposio,89,56.0,Tuscany,Vino Nobile di Montepulciano,,Trerose 2010 Simposio  (Vino Nobile di Montepulciano),Sangiovese,Trerose,Montepulciano,43.09998,11.78704
949,US,"Lighter and livelier than typical California Viognier, this has crisp apple and citrus aromas, nicely tangy fruit flavors and relatively light body. It feels juicy but lean rather than rich, in a refreshing alternative style.",,89,24.0,California,Fair Play,Sierra Foothills,Feist 2016 Viognier (Fair Play),Viognier,Feist,Fair Play,38.59352,-120.66049
951,Italy,"It's amazing how much this wine smells like peppermint. A blend of Cabernet, Merlot and Syrah, this is a distinctive wine that offers playful aromas of clove, cardamom, chocolate and rhubarb behind a solid wall of spearmint. It has tight tannins, a solid structure and fresh acidity.",Ocra,90,40.0,Tuscany,Bolgheri,,Guicciardini Strozzi 2005 Ocra  (Bolgheri),Red Blend,Guicciardini Strozzi,Bolgheri,43.23391,10.6194
957,US,"Affordable and appetizing, this has a lighter color and subtle smoke and toasted oak aromas. A firm texture accompanies just enough tannins and acidity, and bright red cherry and black tea flavors. It's lean in a good way, with excellent balance and a touch of austerity rather than overt richness.",,88,12.0,California,California,California Other,Leese-Fitch 2013 Pinot Noir (California),Pinot Noir,Leese-Fitch,Sonoma,38.2921744,-122.4592598
961,Italy,"This starts with subtle aromas of wild rise, lemon zest and forest berry. The blend is based on Glera, with 15% Cabernet Sauvignon added for color.",Brut Cuvée Rosé,86,16.0,Veneto,Veneto,,Il Follo NV Brut Cuvée Rosé Sparkling (Veneto),Sparkling Blend,Il Follo,San Martino di Lupari,45.6326077,11.8403539
962,Italy,"This is an offbeat Moscato-based wine with aromas of peppermint and peach syrup that somehow work in unity. The wine offers soft, creamy fizz and a touch of delicate sweetness.",Seven Daughters,82,15.0,Veneto,Veneto,,Cantine dei Colli Tramonte NV Seven Daughters Moscato (Veneto),Moscato,Cantine dei Colli Tramonte,Tramonte,45.35334,11.73861
965,US,"A blend every year of 60% Cabernet Sauvignon and 40% Merlot, the 2010 is rich and spicy, rounded with soft tannins and prime red raspberry and cherry fruit. Well integrated, a layering of chocolate, coffee and clove finish the wine off nicely.",Ralphi's Red Blend,89,34.0,California,Livermore Valley,Central Coast,Nottingham Cellars 2010 Ralphi's Red Blend Cabernet Sauvignon-Merlot (Livermore Valley),Cabernet Sauvignon-Merlot,Nottingham Cellars,Livermore,37.752366,-121.769848
969,US,"Heady yellow flower and honey aromas waft from this sunny, off-dry wine. The palate is concentrated with fresh apple flavors, but pierced with a streak of lime and lemon acidity. Finishes moderately long with a touch of lemon-zest astringency.",,88,21.0,New York,North Fork of Long Island,Long Island,Jamesport 2010 Riesling (North Fork of Long Island),Riesling,Jamesport,New York,40.799948,-73.95119
970,Italy,"Roasted fennel, scorched earth, leather, game and mature cherry aromas lead the nose while the palate shows French oak, mature black cherry, coffee, roasted herb and a note recalling cured meat. Brawny tannins provide the framework.",,88,45.0,Piedmont,Barbaresco,,Ronchi di Giancarlo Rocca 2012  Barbaresco,Nebbiolo,Ronchi di Giancarlo Rocca,Barbaresco,44.72324,8.08194
972,US,"Pessagno's Chardonnays are always big and strong wines, as befits their growing conditions in the cool foothills of the coastal Monterey mountains. This is monumental in fruit, bursting at the seams with ripe apricots and tangerines, sweetened with honey, yet finishing dry. It's a wine to pair with elaborate fare.",Intrinity,92,45.0,California,Santa Lucia Highlands,Central Coast,Pessagno 2009 Intrinity Chardonnay (Santa Lucia Highlands),Chardonnay,Pessagno,Highlands,37.51994,-122.34386
